distress,resilience,adversity,sex,partnership,education,income,unemployed
0,low_res,low_adv,1,2,1,2,0
0,low_res,high_adv,1,1,1,2,0
0,low_res,low_adv,1,2,1,1,0
0,high_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,1,2,2,0
0,low_res,low_adv,1,1,1,1,0
0,high_res,low_adv,1,1,1,1,0
0,high_res,low_adv,1,1,1,1,0
0,high_res,low_adv,1,2,1,1,0
4,high_res,low_adv,1,1,1,2,0
4,low_res,low_adv,1,2,1,1,0
0,high_res,low_adv,1,1,1,2,0
2,high_res,low_adv,1,1,1,2,0
2,low_res,high_adv,1,1,1,2,0
0,high_res,low_adv,1,1,1,2,0
2,high_res,high_adv,1,2,1,1,0
2,low_res,high_adv,1,1,1,1,1
2,low_res,high_adv,1,1,1,1,0
0,high_res,high_adv,1,2,1,1,0
4,low_res,high_adv,1,2,1,NA,0
1,low_res,low_adv,1,1,1,NA,0
0,high_res,high_adv,1,2,1,NA,0
1,low_res,low_adv,1,2,1,1,0
0,high_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,2,1,1,0
0,low_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,2,1,1,0
0,low_res,high_adv,1,1,1,2,0
0,high_res,low_adv,1,2,1,1,0
0,high_res,low_adv,1,2,1,1,1
1,high_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,1,NA,2,0
0,high_res,low_adv,1,1,1,2,0
1,low_res,low_adv,1,1,2,2,0
2,high_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,1,2,2,0
1,high_res,low_adv,1,1,1,1,0
0,high_res,high_adv,1,2,1,1,0
0,high_res,low_adv,1,1,1,2,0
1,high_res,low_adv,1,2,2,1,0
0,low_res,low_adv,1,2,1,1,0
3,low_res,high_adv,1,2,1,1,0
0,high_res,high_adv,1,2,1,1,1
2,low_res,high_adv,1,2,1,1,1
0,high_res,low_adv,1,2,1,1,0
5,low_res,low_adv,1,1,1,1,0
1,high_res,low_adv,1,1,2,NA,0
1,low_res,low_adv,1,2,1,1,0
1,low_res,high_adv,1,1,1,NA,0
0,high_res,low_adv,1,2,2,NA,0
0,low_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,2,1,2,0
0,low_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,2,1,1,0
0,low_res,low_adv,1,2,1,2,0
0,low_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,1,1,1,0
0,high_res,low_adv,1,2,1,2,0
0,low_res,low_adv,1,1,1,2,0
2,low_res,low_adv,1,2,1,1,1
2,high_res,low_adv,1,2,1,NA,0
1,high_res,low_adv,1,1,1,2,0
4,high_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,1,1,2,0
4,high_res,low_adv,1,1,1,2,0
3,low_res,low_adv,1,2,1,1,0
2,high_res,low_adv,1,2,NA,2,0
2,high_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,1,1,2,0
3,low_res,high_adv,1,1,1,2,0
0,low_res,high_adv,1,2,1,1,0
2,low_res,low_adv,1,2,1,1,0
0,high_res,low_adv,1,1,2,2,0
0,high_res,low_adv,1,1,2,2,0
0,high_res,high_adv,1,1,1,2,0
0,high_res,high_adv,1,1,1,2,0
3,low_res,low_adv,1,1,1,2,0
3,low_res,high_adv,1,1,1,1,0
0,high_res,low_adv,1,1,1,2,0
1,low_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,2,1,1,0
1,low_res,low_adv,1,1,1,2,0
1,low_res,low_adv,1,2,1,1,1
0,high_res,low_adv,1,1,1,2,0
3,low_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,2,2,2,0
0,high_res,low_adv,1,2,1,1,0
1,low_res,low_adv,1,1,1,1,0
0,low_res,low_adv,1,2,1,1,0
0,low_res,low_adv,1,2,1,1,0
0,high_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,1,1,1,0
0,low_res,low_adv,1,2,1,1,0
0,high_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,1,1,1,0
0,high_res,low_adv,1,1,1,2,0
2,high_res,low_adv,1,1,1,2,0
2,high_res,high_adv,1,1,1,1,0
4,low_res,low_adv,1,1,1,2,0
3,low_res,low_adv,1,2,1,1,0
0,low_res,low_adv,1,1,1,2,0
2,high_res,low_adv,1,1,1,2,0
1,low_res,high_adv,1,1,NA,1,0
1,high_res,high_adv,1,1,1,1,0
0,high_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,2,1,1,0
0,high_res,low_adv,1,2,2,2,0
3,high_res,low_adv,1,2,1,NA,0
3,high_res,low_adv,1,2,1,NA,0
0,high_res,low_adv,1,1,2,NA,0
0,high_res,low_adv,1,1,2,2,0
1,high_res,low_adv,1,1,1,1,0
0,low_res,low_adv,1,1,1,1,0
0,high_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,1,1,1,0
9,low_res,low_adv,1,2,1,1,0
3,low_res,low_adv,1,2,1,1,0
6,low_res,low_adv,1,2,1,1,0
0,low_res,low_adv,1,2,1,2,0
2,low_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,1,2,2,0
0,high_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,1,2,2,0
1,high_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,2,2,1,0
2,high_res,low_adv,1,2,1,2,0
2,high_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,2,1,2,0
0,high_res,low_adv,1,2,1,1,1
1,high_res,low_adv,1,2,1,1,1
0,low_res,low_adv,1,1,1,2,0
2,low_res,low_adv,1,1,1,2,0
3,low_res,low_adv,1,1,1,2,0
2,low_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,1,1,2,0
2,low_res,low_adv,1,1,1,2,0
1,high_res,low_adv,1,2,1,1,0
1,low_res,low_adv,1,1,1,2,0
2,low_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,2,1,2,0
0,low_res,low_adv,1,1,2,2,0
4,low_res,low_adv,1,2,2,1,0
0,low_res,low_adv,1,2,1,2,0
0,low_res,low_adv,1,1,1,2,0
3,low_res,low_adv,1,1,1,1,0
2,high_res,low_adv,1,2,1,1,0
3,high_res,low_adv,1,2,1,1,0
0,high_res,low_adv,1,2,2,2,0
0,low_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,1,2,2,0
2,low_res,low_adv,1,2,2,1,0
0,high_res,low_adv,1,2,1,1,0
0,low_res,low_adv,1,2,2,1,0
0,low_res,low_adv,1,2,2,2,0
0,low_res,high_adv,1,2,1,1,0
1,high_res,low_adv,1,1,1,2,0
3,low_res,low_adv,1,2,1,1,0
0,high_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,1,1,NA,0
1,low_res,high_adv,1,1,2,1,1
4,low_res,low_adv,1,2,1,2,0
1,low_res,high_adv,1,2,1,1,0
7,low_res,low_adv,1,2,1,1,0
0,high_res,low_adv,1,2,1,2,0
0,high_res,low_adv,1,2,1,2,0
0,high_res,low_adv,1,1,2,2,0
0,high_res,low_adv,1,2,2,2,0
1,low_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,1,1,2,0
4,low_res,high_adv,1,2,1,2,0
1,high_res,high_adv,1,2,1,1,0
3,high_res,low_adv,1,2,1,1,1
2,high_res,low_adv,1,2,1,1,1
0,high_res,low_adv,1,2,1,1,0
1,low_res,low_adv,1,1,1,2,0
4,low_res,low_adv,1,2,1,2,0
1,low_res,low_adv,1,1,1,2,0
1,low_res,low_adv,1,2,1,2,0
0,low_res,low_adv,1,1,2,2,0
1,low_res,high_adv,1,2,2,2,0
3,low_res,low_adv,1,2,2,2,0
0,low_res,low_adv,1,2,2,2,0
0,low_res,low_adv,1,1,2,2,0
2,low_res,low_adv,1,2,2,2,0
1,high_res,low_adv,1,2,2,2,0
0,high_res,low_adv,1,2,1,2,0
0,low_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,2,1,1,0
2,low_res,high_adv,1,1,1,2,0
0,low_res,low_adv,1,2,1,1,0
0,low_res,low_adv,1,2,1,1,0
0,high_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,2,2,1,0
0,high_res,low_adv,1,2,1,1,0
0,high_res,low_adv,1,2,1,1,0
0,low_res,low_adv,1,1,1,2,0
0,low_res,high_adv,1,2,1,2,0
2,low_res,high_adv,1,1,1,2,0
0,low_res,low_adv,1,1,2,1,0
1,low_res,low_adv,1,2,1,2,0
2,low_res,low_adv,1,2,1,2,0
0,low_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,2,1,1,1
0,high_res,low_adv,1,1,1,2,0
0,low_res,high_adv,1,2,1,1,0
0,low_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,2,1,1,0
0,high_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,2,1,2,0
0,high_res,high_adv,1,1,1,1,1
0,high_res,low_adv,1,1,2,2,0
0,high_res,low_adv,1,2,1,2,0
0,high_res,low_adv,1,1,2,2,0
0,high_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,1,1,2,0
2,low_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,2,1,2,0
0,low_res,low_adv,1,1,1,2,0
1,low_res,low_adv,1,2,2,2,0
0,low_res,low_adv,1,1,1,2,0
6,low_res,high_adv,1,2,1,1,0
0,low_res,high_adv,1,1,1,2,0
0,low_res,low_adv,1,2,1,1,0
1,low_res,low_adv,1,2,2,2,0
2,low_res,high_adv,1,1,1,2,0
1,low_res,high_adv,1,1,2,2,0
0,low_res,high_adv,1,1,2,2,0
1,high_res,low_adv,1,2,1,2,0
4,high_res,low_adv,1,1,1,2,1
0,high_res,low_adv,1,2,1,1,0
1,low_res,low_adv,1,1,1,2,0
4,low_res,low_adv,1,2,2,1,0
2,low_res,low_adv,1,2,2,1,0
0,low_res,low_adv,1,2,2,1,0
0,low_res,low_adv,1,1,2,2,0
0,high_res,low_adv,1,2,2,2,0
1,high_res,high_adv,1,1,1,2,0
4,high_res,low_adv,1,2,1,1,0
1,high_res,low_adv,1,2,2,1,0
1,high_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,1,2,2,0
0,low_res,low_adv,1,1,1,2,0
1,low_res,low_adv,1,2,1,2,0
2,high_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,2,1,1,0
1,low_res,high_adv,1,2,1,1,0
0,low_res,low_adv,1,2,1,2,0
0,high_res,low_adv,1,1,2,2,0
0,high_res,low_adv,1,2,2,2,0
0,low_res,low_adv,1,2,1,2,0
0,low_res,low_adv,1,2,1,2,0
0,low_res,low_adv,1,2,1,2,0
5,high_res,low_adv,1,1,1,1,0
0,high_res,low_adv,1,2,1,2,0
0,low_res,low_adv,1,2,1,1,0
4,low_res,high_adv,1,1,1,2,0
2,low_res,low_adv,1,1,1,1,0
1,low_res,low_adv,1,1,1,2,0
2,low_res,low_adv,1,1,1,2,0
4,low_res,low_adv,1,2,1,1,0
0,low_res,low_adv,1,1,1,2,0
1,high_res,low_adv,1,1,2,2,0
1,low_res,low_adv,1,2,1,2,0
0,high_res,low_adv,1,2,2,2,0
0,high_res,low_adv,1,1,2,2,0
2,low_res,low_adv,1,1,1,1,0
1,low_res,low_adv,1,1,2,2,0
0,high_res,low_adv,1,2,1,2,0
0,low_res,low_adv,1,2,1,2,0
0,high_res,low_adv,1,2,1,1,0
0,low_res,low_adv,1,1,2,2,0
2,high_res,low_adv,1,1,2,1,1
0,low_res,low_adv,1,2,2,2,0
0,high_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,1,1,1,0
1,low_res,high_adv,1,1,1,1,0
2,high_res,low_adv,1,1,1,2,0
1,high_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,2,1,2,0
0,high_res,high_adv,1,1,1,2,0
0,high_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,1,1,1,0
9,high_res,low_adv,1,2,1,1,0
0,low_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,2,1,1,1
2,high_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,2,1,2,0
0,high_res,low_adv,1,2,1,1,0
1,high_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,2,1,2,0
2,low_res,low_adv,1,1,2,2,0
1,high_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,2,1,2,0
2,low_res,low_adv,1,2,1,2,0
0,low_res,high_adv,1,1,1,1,0
1,low_res,low_adv,1,2,1,2,0
8,low_res,low_adv,1,2,1,1,0
4,low_res,low_adv,1,2,1,1,0
0,high_res,low_adv,1,2,1,2,0
4,high_res,low_adv,1,2,1,2,0
0,high_res,low_adv,1,2,1,1,0
0,high_res,low_adv,1,2,1,1,0
8,low_res,low_adv,1,2,1,1,1
0,high_res,low_adv,1,2,2,1,0
0,low_res,high_adv,1,2,1,1,0
0,low_res,low_adv,1,1,1,2,0
0,low_res,high_adv,1,1,1,2,0
0,low_res,low_adv,1,1,2,2,0
0,low_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,1,2,2,0
1,high_res,low_adv,1,2,1,1,0
2,high_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,2,2,1,0
1,low_res,low_adv,1,1,1,1,0
2,low_res,low_adv,1,2,1,1,0
0,low_res,low_adv,1,1,1,2,0
0,low_res,low_adv,1,2,1,NA,0
1,high_res,low_adv,1,2,1,NA,0
1,high_res,low_adv,1,2,1,1,0
1,high_res,low_adv,1,2,2,1,0
0,low_res,low_adv,1,2,1,1,0
2,high_res,low_adv,1,2,2,2,0
2,low_res,low_adv,1,1,2,2,0
0,high_res,low_adv,1,2,1,1,0
2,low_res,high_adv,1,2,2,2,0
0,low_res,high_adv,1,2,2,NA,0
0,low_res,high_adv,1,2,1,1,0
4,low_res,high_adv,1,2,2,1,0
5,low_res,high_adv,1,2,1,1,0
2,low_res,low_adv,1,1,1,1,0
0,low_res,low_adv,1,1,1,2,0
0,low_res,high_adv,1,1,1,2,0
0,low_res,low_adv,1,2,1,1,0
6,high_res,low_adv,1,1,1,1,0
0,high_res,low_adv,1,1,2,2,0
0,low_res,high_adv,1,2,1,2,0
8,low_res,high_adv,1,1,1,2,0
4,low_res,high_adv,1,1,1,1,0
3,low_res,low_adv,1,1,1,2,0
2,high_res,low_adv,1,2,1,1,0
0,high_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,2,1,1,0
0,high_res,low_adv,1,2,1,2,0
0,high_res,low_adv,1,1,1,2,0
0,high_res,low_adv,1,1,1,2,0
